movieId,title,genres,imdbId,tmdbId,rating,tag,new_genres,new_title,text,transformed_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,3.9209302325581397,"pixar,pixar,fun",Adventure Animation Children Comedy Fantasy,Toy Story  1995 ,Toy Story  1995 Adventure Animation Children Comedy Fantasy,toy stori 1995 adventur anim children comedi fantasi
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,3.4318181818181817,"fantasy,magic board game,Robin Williams,game",Adventure Children Fantasy,Jumanji  1995 ,Jumanji  1995 Adventure Children Fantasy,jumanji 1995 adventur children fantasi
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,3.2596153846153846,"moldy,old",Comedy Romance,Grumpier Old Men  1995 ,Grumpier Old Men  1995 Comedy Romance,grumpier old men 1995 comedi romanc
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,2.357142857142857,,Comedy Drama Romance,Waiting to Exhale  1995 ,Waiting to Exhale  1995 Comedy Drama Romance,wait exhal 1995 comedi drama romanc
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,3.0714285714285716,"pregnancy,remake",Comedy,Father of the Bride Part II  1995 ,Father of the Bride Part II  1995 Comedy,father bride part ii 1995 comedi
6,Heat (1995),Action|Crime|Thriller,113277,949.0,3.946078431372549,,Action Crime Thriller,Heat  1995 ,Heat  1995 Action Crime Thriller,heat 1995 action crime thriller
7,Sabrina (1995),Comedy|Romance,114319,11860.0,3.185185185185185,remake,Comedy Romance,Sabrina  1995 ,Sabrina  1995 Comedy Romance,sabrina 1995 comedi romanc
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,2.875,,Adventure Children,Tom and Huck  1995 ,Tom and Huck  1995 Adventure Children,tom huck 1995 adventur children
9,Sudden Death (1995),Action,114576,9091.0,3.125,,Action,Sudden Death  1995 ,Sudden Death  1995 Action,sudden death 1995 action
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,3.496212121212121,,Action Adventure Thriller,GoldenEye  1995 ,GoldenEye  1995 Action Adventure Thriller,goldeney 1995 action adventur thriller
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,3.6714285714285713,"politics,president",Comedy Drama Romance,American President  The  1995 ,American President  The  1995 Comedy Drama Romance,american presid 1995 comedi drama romanc
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,2.4210526315789473,,Comedy Horror,Dracula  Dead and Loving It  1995 ,Dracula  Dead and Loving It  1995 Comedy Horror,dracula dead love 1995 comedi horror
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,3.125,,Adventure Animation Children,Balto  1995 ,Balto  1995 Adventure Animation Children,balto 1995 adventur anim children
14,Nixon (1995),Drama,113987,10858.0,3.8333333333333335,"politics,president",Drama,Nixon  1995 ,Nixon  1995 Drama,nixon 1995 drama
